"precinct","town","total.pop","p.white","p.black","p.aian","p.asian","p.nhpi","p.other","p.multi","p.hisp","edupop","lesshs","hs","scol","bach","graddeg","p.colgrad","p.owner","p.renter","p.poverty","medinc","pres.score.g16","gov.score.g18","pres.score.g20"
"West Seneca 19","West Seneca",343,94.75,0.87,0.29,0.87,0,0,2.62,1.75,283,22,75,94,60,35,33.22,76.81,23.49,8.16,97269,46.22,45.89,46.38
"West Seneca 20","West Seneca",1160,87.93,0.17,0.09,0.09,0.09,0.09,2.24,9.66,909,104,331,306,128,41,18.59,67.5,32.58,10.78,58423,48.58,53.33,55.11
"West Seneca 21","West Seneca",485,92.16,0.62,0,1.65,0,0,2.27,3.71,391,13,82,141,111,47,40.41,96.07,4.14,3.71,106131,42.42,39.39,43.8
"West Seneca 22","West Seneca",1434,86.89,0.07,0.07,0.07,0,0.07,2.58,10.6,1117,138,409,369,156,47,18.08,66.67,33.4,11.51,58850,52.48,53.57,56.2
"West Seneca 23","West Seneca",1172,91.89,0.85,0.17,0,0,0.34,1.79,5.2,1032,64,364,390,160,57,20.93,76.93,23.07,6.31,58830,38.51,37.19,42.73
"West Seneca 24","West Seneca",784,92.6,1.66,0.26,0.13,0,0,1.4,4.46,685,56,203,237,154,38,27.88,78.85,21.15,6.76,56111,43.93,50,49.46
"West Seneca 25","West Seneca",762,92.78,1.57,0.26,0,0,0,1.31,4.33,667,54,196,231,151,36,28.04,79.17,20.83,6.69,66172,39.18,35.91,40.75
"West Seneca 26","West Seneca",852,92.25,0.47,0.12,1.53,0,0,2.23,3.64,688,23,143,247,195,82,40.26,96,4.12,3.76,97269,40.03,38.28,46.2
"West Seneca 27","West Seneca",571,92.29,0.53,0,1.58,0,0,2.28,3.68,461,15,96,166,131,55,40.35,95.96,4.04,3.68,106131,39.36,37.85,44.93
"West Seneca 28","West Seneca",1697,94.58,0.77,0,0.77,0,0,2.47,1.47,1400,107,369,464,292,170,33,76.42,23.64,8.01,93917,43.07,40.57,51.04
"West Seneca 29","West Seneca",1527,93.32,0.46,0.07,0.72,0,0.07,1.05,4.52,1252,56,296,430,317,156,37.78,87.8,12.26,2.88,91611,46.72,47.87,51.8
"West Seneca 30","West Seneca",565,93.98,0.53,0,0.35,0,0,0.35,5.13,468,24,117,157,112,60,36.54,83.19,16.99,2.3,105347,37.28,38.16,40.84
"West Seneca 31","West Seneca",1925,92.78,1.14,0.26,0.21,0,0,2.44,3.27,1528,39,556,432,274,228,32.85,93.02,6.98,13.77,91032,47.38,45.54,45.3
"West Seneca 32","West Seneca",1074,91.9,2.98,0.19,1.02,0.37,0,0.47,3.26,852,41,275,330,146,62,24.3,77.88,22.21,11.64,67326,41.36,39.5,47.07
"West Seneca 33","West Seneca",364,92.86,1.65,0.27,0.27,0,0.27,1.37,4.4,319,26,94,111,72,18,27.9,78.93,21.07,6.59,56013,45.58,50.35,51.62
"West Seneca 34","West Seneca",385,95.06,0.26,0,0.26,0,0,4.16,0.78,305,10,92,99,62,45,34.75,87.6,12.4,4.68,99957,43.72,45.99,51.43
"West Seneca 35","West Seneca",538,94.05,1.86,0.37,0.19,0,0,3.35,0.93,435,15,107,173,94,49,32.64,82.28,17.91,8.55,62842,44.75,42.54,46.07
"West Seneca 36","West Seneca",376,94.15,1.86,0.27,0.27,0,0,3.46,1.06,304,11,75,121,66,35,32.89,82.13,17.87,8.78,62843,45.66,46.8,52.11
"West Seneca 37","West Seneca",963,94.6,0.83,0.1,0.83,0,0,2.49,1.45,794,61,210,263,165,97,33,76.26,23.85,8.1,94150,39.28,42.6,45.52
"West Seneca 38","West Seneca",702,95.01,0.14,0,0.28,0,0,3.85,1,561,23,165,182,114,80,34.58,85.65,14.35,5.13,93917,47.54,46.38,53.57
"West Seneca 39","West Seneca",781,92.32,0.51,0,1.54,0,0,2.3,3.71,631,21,131,226,179,76,40.25,96.02,4.11,3.71,106131,37.81,39.34,45.08
"West Seneca 40","West Seneca",1137,92.96,0.53,0.09,0.97,0,0.09,1.41,4.31,928,38,211,323,244,114,38.47,90.22,9.87,3.08,96315,43.58,46.01,52.33
"West Seneca 41","West Seneca",1231,86.43,7.96,0.16,0.32,0,0,2.52,2.84,1040,72,289,360,233,88,30.77,69.38,30.7,6.01,62828,46.79,47.09,50.18
